state,place_type,city,city_ibge_code,date,epidemiological_week,estimated_population,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,new_confirmed,new_deaths,id_municipio,municipio,latitude,longitude
SP,city,Santa Salete,3547650,2021-05-30,202122,1552,1545,True,False,168,10824.74227,2021-05-30,0.0238,4,375,2,0,5266,Santa Salete,-20.242918,-50.688717
SP,city,Santana da Ponte Pensa,3547205,2021-05-30,202122,1467,1487,True,False,41,2794.81936,2021-05-30,0.0488,2,369,0,0,5261,Santana da Ponte Pensa,-20.252311,-50.801357
SP,city,Santana de Parnaíba,3547304,2021-05-30,202122,142301,139447,True,False,11695,8218.4946,2021-05-30,0.0253,296,450,66,1,5262,Santana de Parnaíba,-23.442514,-46.922215
SP,city,Santo Anastácio,3547700,2021-05-30,202122,20866,20878,True,False,1229,5889.96454,2021-05-30,0.0236,29,390,0,0,5267,Santo Anastácio,-21.974662,-51.652662
SP,city,Santo André,3547809,2021-05-30,202122,721368,718773,True,False,53327,7392.48206,2021-05-30,0.047,2507,441,267,34,5268,Santo André,-23.67373,-46.543154
SP,city,Santo Antônio de Posse,3548005,2021-05-30,202122,23529,23310,True,False,2296,9758.17077,2021-05-30,0.0122,28,398,35,0,5270,Santo Antônio de Posse,-22.602873,-46.91919
SP,city,Santo Antônio do Aracanguá,3548054,2021-05-30,202122,8481,8420,True,False,506,5966.27756,2021-05-30,0.0435,22,401,1,0,5271,Santo Antônio do Aracanguá,-20.933114,-50.497979
SP,city,Santo Antônio do Jardim,3548104,2021-05-30,202122,5940,5954,True,False,392,6599.3266,2021-05-30,0.0383,15,388,0,0,5272,Santo Antônio do Jardim,-22.112076,-46.684487
SP,city,Santo Antônio do Pinhal,3548203,2021-05-30,202122,6827,6811,True,False,456,6679.36136,2021-05-30,0.0132,6,401,10,0,5273,Santo Antônio do Pinhal,-22.827,-45.663
SP,city,Santo Expedito,3548302,2021-05-30,202122,3135,3111,True,False,148,4720.89314,2021-05-30,0.0203,3,384,0,0,5274,Santo Expedito,-21.846657,-51.392894
SP,city,Santópolis do Aguapeí,3548401,2021-05-30,202122,4817,4777,True,False,418,8677.60017,2021-05-30,0.0311,13,376,6,0,5275,Santópolis do Aguapeí,-21.637574,-50.504372
SP,city,Santos,3548500,2021-05-30,202122,433656,433311,True,False,51436,11861.01426,2021-05-30,0.0332,1710,427,116,2,5276,Santos,-23.953543,-46.335042
SP,city,São Bento do Sapucaí,3548609,2021-05-30,202122,10893,10878,True,False,584,5361.24116,2021-05-30,0.0103,6,381,6,0,5277,São Bento do Sapucaí,-22.683744,-45.728677
SP,city,São Bernardo do Campo,3548708,2021-05-30,202122,844483,838936,True,False,62216,7367.34783,2021-05-30,0.0423,2632,441,331,13,5278,São Bernardo do Campo,-23.691412,-46.564617
SP,city,São Caetano do Sul,3548807,2021-05-30,202122,161957,161127,True,False,15698,9692.69621,2021-05-30,0.0471,739,441,26,0,5279,São Caetano do Sul,-23.62287,-46.554797
SP,city,São Carlos,3548906,2021-05-30,202122,254484,251983,True,False,19036,7480.23451,2021-05-30,0.0196,374,420,136,2,5280,São Carlos,-22.017395,-47.885971
SP,city,São Francisco,3549003,2021-05-30,202122,2817,2821,True,False,189,6709.26518,2021-05-30,0.0476,9,361,1,0,5281,São Francisco,-20.362291,-50.695151
SP,city,São João da Boa Vista,3549102,2021-05-30,202122,91771,91211,True,False,6438,7015.28805,2021-05-30,0.0311,200,417,46,3,5282,São João da Boa Vista,-21.970747,-46.794356
SP,city,São João das Duas Pontes,3549201,2021-05-30,202122,2561,2568,True,False,148,5778.99258,2021-05-30,0.0338,5,383,0,0,5283,São João das Duas Pontes,-20.387857,-50.379149
SP,city,São João de Iracema,3549250,2021-05-30,202122,1932,1922,True,False,111,5745.34161,2021-05-30,0.0541,6,359,1,0,5284,São João de Iracema,-20.511059,-50.356069
SP,city,São Joaquim da Barra,3549409,2021-05-30,202122,52319,51888,True,False,4870,9308.28189,2021-05-30,0.0207,101,410,69,13,5286,São Joaquim da Barra,-20.581158,-47.859316
SP,city,São José da Bela Vista,3549508,2021-05-30,202122,8960,8928,True,False,228,2544.64286,2021-05-30,0.0614,14,369,4,0,5287,São José da Bela Vista,-20.593548,-47.642413
SP,city,São José do Barreiro,3549607,2021-05-30,202122,4144,4147,True,False,254,6129.34363,2021-05-30,0.0157,4,303,0,0,5288,São José do Barreiro,-22.641353,-44.577437
SP,city,São José do Rio Preto,3549805,2021-05-30,202122,464983,460671,True,False,72710,15637.13082,2021-05-30,0.0297,2157,439,495,25,5290,São José do Rio Preto,-20.811289,-49.375767
SP,city,São José dos Campos,3549904,2021-05-30,202122,729737,721944,True,False,72162,9888.76815,2021-05-30,0.0204,1469,439,685,16,5291,São José dos Campos,-23.189554,-45.884115
SP,city,São Lourenço da Serra,3549953,2021-05-30,202122,15978,15825,True,False,620,3880.33546,2021-05-30,0.05,31,405,5,1,5292,São Lourenço da Serra,-23.849134,-46.94316
SP,city,São Luiz do Paraitinga,3550001,2021-05-30,202122,10690,10687,True,False,58,542.56314,2021-05-30,0.2414,14,389,2,0,5293,São Luiz do Paraitinga,-23.220521,-45.30899
SP,city,São Manuel,3550100,2021-05-30,202122,41123,40954,True,False,4021,9777.98312,2021-05-30,0.0261,105,422,42,1,5294,São Manuel,-22.732081,-48.572316
SP,city,São Miguel Arcanjo,3550209,2021-05-30,202122,33002,32931,True,False,1431,4336.10084,2021-05-30,0.0342,49,416,5,0,5295,São Miguel Arcanjo,-23.878197,-47.993549
SP,city,São Paulo,3550308,2021-05-30,202122,12325232,12252023,True,False,782195,6346.29028,2021-05-30,0.0391,30576,461,3645,100,5296,São Paulo,-23.532905,-46.63952
SP,city,São Pedro,3550407,2021-05-30,202122,35980,35653,True,False,3775,10491.93997,2021-05-30,0.017,64,427,28,1,5297,São Pedro,-22.548256,-47.909579
SP,city,São Roque,3550605,2021-05-30,202122,92060,91016,True,False,5108,5548.55529,2021-05-30,0.0164,84,419,87,3,5299,São Roque,-23.522598,-47.13567
SP,city,São Sebastião,3550704,2021-05-30,202122,90328,88980,True,False,6999,7748.42795,2021-05-30,0.0203,142,432,33,5,5300,São Sebastião,-23.795059,-45.414314
SP,city,São Sebastião da Grama,3550803,2021-05-30,202122,12159,12182,True,False,810,6661.73205,2021-05-30,0.0321,26,403,10,0,5301,São Sebastião da Grama,-21.704109,-46.820753
SP,city,São Simão,3550902,2021-05-30,202122,15385,15322,True,False,760,4939.8765,2021-05-30,0.0263,20,374,10,0,5302,São Simão,-21.473171,-47.551755
SP,city,São Vicente,3551009,2021-05-30,202122,368355,365798,True,False,15753,4276.58102,2021-05-30,0.0608,957,426,93,7,5303,São Vicente,-23.957353,-46.388333
SP,city,Sarapuí,3551108,2021-05-30,202122,10390,10285,True,False,316,3041.38595,2021-05-30,0.0095,3,397,-1,0,5304,Sarapuí,-23.63974,-47.824863
SP,city,Sarutaiá,3551207,2021-05-30,202122,3630,3638,True,False,99,2727.27273,2021-05-30,0.0606,6,390,0,0,5305,Sarutaiá,-23.272103,-49.476259
SP,city,Sebastianópolis do Sul,3551306,2021-05-30,202122,3554,3513,True,False,119,3348.3399,2021-05-30,0.0504,6,357,0,0,5306,Sebastianópolis do Sul,-20.652323,-49.924997
SP,city,Serra Azul,3551405,2021-05-30,202122,14981,14662,True,False,1040,6942.12669,2021-05-30,0.0115,12,388,9,0,5307,Serra Azul,-21.307381,-47.560243
SP,city,Serra Negra,3551603,2021-05-30,202122,29452,29229,True,False,2038,6919.7338,2021-05-30,0.0221,45,402,22,0,5309,Serra Negra,-22.613941,-46.703271
SP,city,Sertãozinho,3551702,2021-05-30,202122,127142,125815,True,False,13091,10296.36155,2021-05-30,0.027,353,418,157,3,5310,Sertãozinho,-21.131596,-47.987496
SP,city,Sete Barras,3551801,2021-05-30,202122,12780,12832,True,False,1449,11338.02817,2021-05-30,0.0207,30,391,7,0,5311,Sete Barras,-24.382048,-47.927943
SP,city,Silveiras,3552007,2021-05-30,202122,6339,6302,True,False,365,5758.00599,2021-05-30,0.0164,6,385,0,0,5313,Silveiras,-22.66384,-44.852157
SP,city,Socorro,3552106,2021-05-30,202122,41352,41005,True,False,3025,7315.24473,2021-05-30,0.0145,44,401,23,0,5314,Socorro,-22.590264,-46.525118
SP,city,Sud Mennucci,3552304,2021-05-30,202122,7728,7718,True,False,775,10028.46791,2021-05-30,0.0129,10,391,0,0,5316,Sud Mennucci,-20.687225,-50.923783
SP,city,Sumaré,3552403,2021-05-30,202122,286211,282441,True,False,19717,6888.97352,2021-05-30,0.0314,619,419,113,1,5317,Sumaré,-22.820416,-47.272823
SP,city,Suzanápolis,3552551,2021-05-30,202122,4014,3963,True,False,298,7424.01594,2021-05-30,0.0336,10,341,0,0,5318,Suzanápolis,-20.49809,-51.026761
SP,city,Suzano,3552502,2021-05-30,202122,300559,297637,True,False,18045,6003.8129,2021-05-30,0.0395,713,438,96,2,5319,Suzano,-23.544828,-46.311181
SP,city,Tabapuã,3552601,2021-05-30,202122,12485,12407,True,False,1210,9691.62996,2021-05-30,0.0306,37,384,39,0,5320,Tabapuã,-20.960171,-49.03074
SP,city,Tabatinga,3552700,2021-05-30,202122,16644,16496,True,False,1523,9150.4446,2021-05-30,0.0309,47,390,10,0,5321,Tabatinga,-21.723863,-48.689577
SP,city,Taboão da Serra,3552809,2021-05-30,202122,293652,289664,True,False,16036,5460.88567,2021-05-30,0.0458,735,432,59,5,5322,Taboão da Serra,-23.601867,-46.752637
SP,city,Taciba,3552908,2021-05-30,202122,6329,6285,True,False,536,8468.95244,2021-05-30,0.0299,16,345,111,0,5323,Taciba,-22.386577,-51.288221
SP,city,Taguaí,3553005,2021-05-30,202122,14141,13859,True,False,1370,9688.14087,2021-05-30,0.0175,24,388,36,0,5324,Taguaí,-23.445242,-49.402377
SP,city,Taiaçu,3553104,2021-05-30,202122,6320,6295,True,False,287,4541.13924,2021-05-30,0.0348,10,410,2,0,5325,Taiaçu,-21.143144,-48.511203
SP,city,Taiúva,3553203,2021-05-30,202122,5564,5566,True,False,724,13012.22142,2021-05-30,0.0138,10,376,0,0,5326,Taiúva,-21.122333,-48.452816
SP,city,Tambaú,3553302,2021-05-30,202122,23232,23207,True,False,1954,8410.81267,2021-05-30,0.0179,35,383,29,0,5327,Tambaú,-21.70292,-47.270344
SP,city,Tanabi,3553401,2021-05-30,202122,26101,25967,True,False,3385,12968.85177,2021-05-30,0.023,78,418,28,1,5328,Tanabi,-20.62279,-49.656319
SP,city,Vera Cruz,3556602,2021-05-30,202122,10823,10843,True,False,530,4896.97866,2021-05-30,0.0453,24,349,7,0,5369,Vera Cruz,-22.218308,-49.820735
SP,city,Tapiratiba,3553609,2021-05-30,202122,12950,12960,True,False,1102,8509.65251,2021-05-30,0.0118,13,390,7,0,5330,Tapiratiba,-21.471324,-46.744825
SP,city,Taquaral,3553658,2021-05-30,202122,2813,2811,True,False,313,11126.91077,2021-05-30,0.0256,8,362,4,0,5331,Taquaral,-21.07373,-48.412553
SP,city,Taquaritinga,3553708,2021-05-30,202122,57364,57177,True,False,4417,7699.95119,2021-05-30,0.0324,143,407,64,0,5332,Taquaritinga,-21.404861,-48.510345
SP,city,Taquarituba,3553807,2021-05-30,202122,23256,23218,True,False,2533,10891.81287,2021-05-30,0.0249,63,408,22,0,5333,Taquarituba,-23.530709,-49.240954
SP,city,Taquarivaí,3553856,2021-05-30,202122,5911,5852,True,False,267,4517.0022,2021-05-30,0.0225,6,388,3,1,5334,Taquarivaí,-23.921116,-48.694769
SP,city,Tarabai,3553906,2021-05-30,202122,7540,7468,True,False,551,7307.69231,2021-05-30,0.0381,21,408,48,0,5335,Tarabai,-22.301612,-51.562133
SP,city,Tarumã,3553955,2021-05-30,202122,15183,15000,True,False,1296,8535.86248,2021-05-30,0.0255,33,395,14,0,5336,Tarumã,-22.742873,-50.57862
SP,city,Tatuí,3554003,2021-05-30,202122,122967,121766,True,False,5511,4481.69021,2021-05-30,0.0582,321,431,24,2,5337,Tatuí,-23.348731,-47.84612
SP,city,Taubaté,3554102,2021-05-30,202122,317915,314924,True,False,21478,6755.89387,2021-05-30,0.0169,364,438,187,2,5338,Taubaté,-23.010414,-45.55926
SP,city,Tejupá,3554201,2021-05-30,202122,4491,4532,True,False,124,2761.07771,2021-05-30,0.0242,3,378,0,0,5339,Tejupá,-23.342458,-49.372244
SP,city,Teodoro Sampaio,3554300,2021-05-30,202122,23273,23148,True,False,1699,7300.30507,2021-05-30,0.0171,29,388,51,1,5340,Teodoro Sampaio,-22.529936,-52.168175
SP,city,Terra Roxa,3554409,2021-05-30,202122,9437,9370,True,False,828,8773.97478,2021-05-30,0.0278,23,421,0,0,5341,Terra Roxa,-20.787015,-48.331442
SP,city,Tietê,3554508,2021-05-30,202122,42517,42076,True,False,2713,6380.97702,2021-05-30,0.0262,71,395,17,1,5342,Tietê,-23.110098,-47.716378
SP,city,Timburi,3554607,2021-05-30,202122,2652,2658,True,False,103,3883.86124,2021-05-30,0.0388,4,396,0,0,5343,Timburi,-23.205674,-49.609583
SP,city,Torre de Pedra,3554656,2021-05-30,202122,2422,2412,True,False,85,3509.49628,2021-05-30,0.0706,6,390,7,0,5344,Torre de Pedra,-23.246173,-48.195507
SP,city,Trabiju,3554755,2021-05-30,202122,1738,1724,True,False,73,4200.23015,2021-05-30,0.0137,1,379,0,0,5346,Trabiju,-22.038783,-48.334168
SP,city,Tremembé,3554805,2021-05-30,202122,47714,47185,True,False,2095,4390.74485,2021-05-30,0.0067,14,383,23,0,5347,Tremembé,-22.95714,-45.547526
